snapped_at,price,market_cap,total_volume
2015-08-26 00:00:00 UTC,4.57628e-05,0.0,29384.0
2015-08-27 00:00:00 UTC,4.33029e-05,0.0,14348.0
2015-08-28 00:00:00 UTC,3.97536e-05,0.0,5923.0
2015-08-29 00:00:00 UTC,3.65171e-05,0.0,2751.0
2015-08-30 00:00:00 UTC,2.95729e-05,136863.0,4720.0
2015-08-31 00:00:00 UTC,3.23805e-05,151218.0,3621.0
2015-09-01 00:00:00 UTC,2.97055e-05,139375.0,1387.0
2015-09-02 00:00:00 UTC,2.76305e-05,130047.0,1363.0
2015-09-03 00:00:00 UTC,2.27984e-05,107531.0,3520.0
2015-09-04 00:00:00 UTC,2.53844e-05,119944.0,595.0
2015-09-05 00:00:00 UTC,2.57577e-05,121912.0,1158.0
2015-09-06 00:00:00 UTC,2.63652e-05,124870.0,1413.0
2015-09-07 00:00:00 UTC,4.08439e-05,193571.0,10403.0
2015-09-08 00:00:00 UTC,6.06667e-05,288154.0,82254.0
2015-09-09 00:00:00 UTC,5.76204e-05,274012.0,30026.0
2015-09-10 00:00:00 UTC,5.04202e-05,139269.0,13722.0
2015-09-11 00:00:00 UTC,4.32128e-05,119361.0,9341.0
2015-09-12 00:00:00 UTC,3.52603e-05,97395.0,3250.0
2015-09-13 00:00:00 UTC,3.45714e-05,95492.0,3290.0
2015-09-14 00:00:00 UTC,3.70504e-05,178419.0,1946.0
2015-09-15 00:00:00 UTC,3.22301e-05,157353.0,5137.0
2015-09-16 00:00:00 UTC,3.19368e-05,158362.0,1336.0
2015-09-17 00:00:00 UTC,2.98753e-05,152912.0,5014.0
2015-09-18 00:00:00 UTC,3.02901e-05,157190.0,1142.0
2015-09-19 00:00:00 UTC,2.78009e-05,145770.0,1914.0
2015-09-20 00:00:00 UTC,2.77651e-05,146013.0,2861.0
2015-09-21 00:00:00 UTC,2.94974e-05,155447.0,2587.0
2015-09-22 00:00:00 UTC,2.99257e-05,157924.0,1083.0
2015-09-23 00:00:00 UTC,2.99265e-05,158071.0,2984.0
2015-09-24 00:00:00 UTC,3.2641e-05,172621.0,1396.0
2015-09-25 00:00:00 UTC,3.05613e-05,161855.0,615.0
2015-09-26 00:00:00 UTC,3.28474e-05,174434.0,420.0
2015-09-27 00:00:00 UTC,3.0268511e-05,160986.70797482,472.3064988035934
2015-09-28 00:00:00 UTC,2.8721136e-05,153080.438112768,987.355400113207
2015-09-29 00:00:00 UTC,2.8467144e-05,151943.153362848,1289.063951728947
2015-09-30 00:00:00 UTC,2.8325556e-05,151418.79168696,2915.1422089254306
2015-10-01 00:00:00 UTC,2.852829600000001e-05,152695.36501972805,617.0841314687561
2015-10-02 00:00:00 UTC,2.8471116e-05,152525.60499078,686.0570961016919
2015-10-03 00:00:00 UTC,2.6286898e-05,140950.136780816,219.7273736753303
2015-10-04 00:00:00 UTC,2.8638792e-05,153681.91521228,291.7711583942536
2015-10-05 00:00:00 UTC,2.8838856e-05,154942.23324264,1121.5763754103707
2015-10-06 00:00:00 UTC,2.710884e-05,146837.63430864,1976.4350083365769
2015-10-07 00:00:00 UTC,2.6754519e-05,145798.992081171,4909.949426365738
2015-10-08 00:00:00 UTC,3.1577104e-05,172079.712441936,14490.84363174165
2015-10-09 00:00:00 UTC,3.1746663e-05,173003.725738467,2463.1753378026237
2015-10-10 00:00:00 UTC,2.9438508e-05,170619.969612972,2151.2361438538533
2015-10-11 00:00:00 UTC,2.9714868e-05,172221.699388212,1559.1456425107126
2015-10-12 00:00:00 UTC,3.9290576e-05,227720.673995984,2240.4235401561064
2015-10-13 00:00:00 UTC,3.9904816e-05,231280.691716144,5355.450371687507
2015-10-14 00:00:00 UTC,3.5377384e-05,206516.222025064,2675.736341217797
2015-10-15 00:00:00 UTC,3.819409499999999e-05,223364.98764472496,4453.65907204077
2015-10-16 00:00:00 UTC,4.722723e-05,276681.10477284,6903.147158623327
2015-10-17 00:00:00 UTC,4.3258336e-05,254070.69887056,2183.627480625114
2015-10-18 00:00:00 UTC,4.720221e-05,277934.1648336,10011.164052618651
2015-10-19 00:00:00 UTC,5.0199786e-05,296188.074560196,6383.570270051915
2015-10-20 00:00:00 UTC,4.053996e-05,240292.74814776,5458.832344660521
2015-10-21 00:00:00 UTC,4.5393179e-05,270822.651070387,3616.536542862648
2015-10-22 00:00:00 UTC,4.103595e-05,247336.76111805,3420.536903575989
2015-10-23 00:00:00 UTC,4.160826e-05,252923.00663898,3397.7422348489454
2015-10-24 00:00:00 UTC,3.9613924e-05,245129.614838584,2239.9621561473136
2015-10-25 00:00:00 UTC,3.701737e-05,231876.39848893,1996.6405789681787
2015-10-26 00:00:00 UTC,3.4261908e-05,216618.103853544,2287.0445146965926
2015-10-27 00:00:00 UTC,3.5377128e-05,225410.005455768,2873.05796153704
2015-10-28 00:00:00 UTC,3.6436392e-05,233131.33129752,2905.778864027688
2015-10-29 00:00:00 UTC,3.7668876e-05,241707.842509896,954.1142868578364
2015-10-30 00:00:00 UTC,3.9096072e-05,251473.793414472,3858.4295230850303
2015-10-31 00:00:00 UTC,3.4366893e-05,221579.683445175,1158.7293800624827
2015-11-01 00:00:00 UTC,3.5749681e-05,231239.590112938,1163.5360285971756
2015-11-02 00:00:00 UTC,3.507678e-05,227568.60775584,1518.3941625245325
2015-11-03 00:00:00 UTC,3.5841321e-05,233652.546428643,3069.6753450436627
2015-11-04 00:00:00 UTC,3.6392292e-05,238405.140653868,6656.084954377674
2015-11-05 00:00:00 UTC,3.440412e-05,226353.61614708,2156.9651079167584
2015-11-06 00:00:00 UTC,2.982608e-05,197018.82596112,257.3251622022623
2015-11-07 00:00:00 UTC,3.09508e-05,205237.1999132,1499.1039562688452
2015-11-08 00:00:00 UTC,2.975776e-05,198768.17798816,3041.1823918202717
2015-11-09 00:00:00 UTC,3.425796e-05,230761.48152816,1802.6551359746663
2015-11-10 00:00:00 UTC,2.694984e-05,183158.6585952,1688.5898896761098
2015-11-11 00:00:00 UTC,2.447864e-05,167838.1623396,2402.6984439516004
2015-11-12 00:00:00 UTC,2.365685e-05,163640.46394675,3202.8740559481757
2015-11-13 00:00:00 UTC,2.358468e-05,163935.17673624,1545.72226500888
2015-11-14 00:00:00 UTC,2.331609e-05,162704.87550807,1309.5031603976752
2015-11-15 00:00:00 UTC,2.243388e-05,157297.01163204,1538.4924207912666
2015-11-16 00:00:00 UTC,1.988118e-05,139847.83849476,425.09380021534855
2015-11-17 00:00:00 UTC,2.010666e-05,142120.76946438,457.4138296124594
2015-11-18 00:00:00 UTC,2.348129e-05,166594.5866662,1271.794388517387
2015-11-19 00:00:00 UTC,1.953408e-05,139170.76783488,212.4045343798635
2015-11-20 00:00:00 UTC,2.571336e-05,183839.00441472,1348.7051216382429
2015-11-21 00:00:00 UTC,2.281202e-05,163641.70610172,805.5310757188715
2015-11-22 00:00:00 UTC,2.58716e-05,186208.5384276,1262.7501438394158
2015-11-23 00:00:00 UTC,1.936974e-05,139411.97974314,1177.996123573654
2015-11-24 00:00:00 UTC,2.239853e-05,161211.42620583,1145.3372233235907
2015-11-25 00:00:00 UTC,2.302874e-05,165747.30659214,616.8193464209505
2015-11-26 00:00:00 UTC,2.13747e-05,153842.5009017,1724.7172997324342
2015-11-27 00:00:00 UTC,1.436044e-05,103357.98882084,1098.5424365726378
2015-11-28 00:00:00 UTC,1.78106e-05,128190.2083566,328.6681316207198
2015-11-29 00:00:00 UTC,1.485952e-05,106950.07270272,889.2438785253848
2015-11-30 00:00:00 UTC,1.891325e-05,136126.43359575,3822.738534878856
2015-12-01 00:00:00 UTC,1.81725e-05,137971.506981375,1767.8079906440942
2015-12-02 00:00:00 UTC,1.7941e-05,136783.010434224,2524.081932155198
2015-12-03 00:00:00 UTC,2.165724e-05,165796.59862339596,1656.759690244873
2015-12-04 00:00:00 UTC,1.813835e-05,139432.70234894744,843.3268074877036
2015-12-05 00:00:00 UTC,1.953225e-05,150841.343228247,1691.7835129041987
2015-12-06 00:00:00 UTC,1.970055e-05,152915.4690212142,120.51110319201504
2015-12-07 00:00:00 UTC,1.971775e-05,154033.37594931,567.5648911973346
2015-12-08 00:00:00 UTC,1.65172e-05,129855.0145809084,2297.495836638475
2015-12-09 00:00:00 UTC,1.669472e-05,132042.0786587885,956.79886469725
2015-12-10 00:00:00 UTC,1.66764e-05,132628.2346317708,726.1614170440776
2015-12-11 00:00:00 UTC,1.357245e-05,108629.3004660468,704.7945335451188
2015-12-12 00:00:00 UTC,1.739612e-05,139852.4091077134,878.7881255607991
2015-12-13 00:00:00 UTC,2.179075e-05,176023.174829988,2849.8489434576923
2015-12-14 00:00:00 UTC,1.773108e-05,143822.1444888492,927.3276983713567
2015-12-15 00:00:00 UTC,1.394997e-05,113618.3729295376,737.9441784899878
2015-12-16 00:00:00 UTC,2.26957e-05,185619.8037469754,3550.771274609111
2015-12-17 00:00:00 UTC,1.825892e-05,149902.70855512525,275.86060257764893
2015-12-18 00:00:00 UTC,1.855264e-05,152751.8621058576,1164.629037914191
2015-12-19 00:00:00 UTC,1.848212e-05,152682.34866432648,1188.1169411889732
2015-12-20 00:00:00 UTC,1.764516e-05,146289.3989785488,798.6879253761733
2015-12-21 00:00:00 UTC,1.751236e-05,145899.9780534078,1005.3055008743482
2015-12-22 00:00:00 UTC,1.744948e-05,146207.5236852937,622.2435630020976
2015-12-23 00:00:00 UTC,2.21657e-05,186629.8431335229,1366.2010133165788
2015-12-24 00:00:00 UTC,1.819628e-05,154059.4797929694,520.1668578363596
2015-12-25 00:00:00 UTC,1.822968e-05,155283.11184981672,1477.9674816844465
2015-12-26 00:00:00 UTC,1.668368e-05,142875.427257108,924.6309541425978
2015-12-27 00:00:00 UTC,1.6957e-05,145952.843774738,960.138532816514
2015-12-28 00:00:00 UTC,1.262124e-05,109239.8505064398,118.85836315734
2015-12-29 00:00:00 UTC,1.728616e-05,150342.6810782844,1899.1238814537965
2015-12-30 00:00:00 UTC,1.707244e-05,149054.1962927094,970.569376415534
2015-12-31 00:00:00 UTC,1.719456e-05,150601.92129738143,41.266944
2016-01-01 00:00:00 UTC,2.172135e-05,190993.2142133925,1075.1814010938265
2016-01-02 00:00:00 UTC,2.17163e-05,191614.8674429385,0.0
2016-01-03 00:00:00 UTC,2.15099e-05,190672.8875424261,0.0
2016-01-04 00:00:00 UTC,1.734136e-05,154336.40366231065,2339.1545348892105
2016-01-05 00:00:00 UTC,1.728608e-05,154369.16862523073,3146.2445018155445
2016-01-06 00:00:00 UTC,1.725372e-05,154617.63085614383,2422.958670123889
2016-01-07 00:00:00 UTC,1.825736e-05,163611.6587546179,645.2586471022729
2016-01-08 00:00:00 UTC,1.8187852e-05,164560.1323538081,1394.517338761999
2016-01-09 00:00:00 UTC,2.243545e-05,203881.7030986937,5071.915368559121
2016-01-10 00:00:00 UTC,2.683241999999999e-05,245018.0687038507,10748.199515202932
2016-01-11 00:00:00 UTC,2.690093999999999e-05,246933.0367922681,2624.631056754756
2016-01-12 00:00:00 UTC,2.22896e-05,205671.512330976,2131.9196633675783
2016-01-13 00:00:00 UTC,2.1606e-05,200230.40482731,2360.352244368213
2016-01-14 00:00:00 UTC,2.14885e-05,199899.5819243115,1526.4424916371495
2016-01-15 00:00:00 UTC,1.82956e-05,170270.5383410784,748.4160384741983
2016-01-16 00:00:00 UTC,1.924065e-05,180083.27532870675,418.93207049832273
2016-01-17 00:00:00 UTC,1.93178e-05,180805.362404331,1670.5977516375672
2016-01-18 00:00:00 UTC,1.92566e-05,181753.521063697,2950.18706105651
2016-01-19 00:00:00 UTC,1.891645e-05,179264.22913505504,2650.534963102198
2016-01-20 00:00:00 UTC,2.1039e-05,200242.216462908,791.8062052436808
2016-01-21 00:00:00 UTC,2.44689e-05,233753.587506837,4686.044580324688
2016-01-22 00:00:00 UTC,2.26326e-05,217139.007485781,3664.4756324900072
2016-01-23 00:00:00 UTC,2.727487e-05,262011.1627264901,4959.621401846965
2016-01-24 00:00:00 UTC,2.418336e-05,233908.06563618625,1101.70241491643
2016-01-25 00:00:00 UTC,1.96163e-05,190448.3799744075,3729.967813157074
2016-01-26 00:00:00 UTC,2.354735999999999e-05,229132.94501143091,985.36230225579
2016-01-27 00:00:00 UTC,2.366945999999999e-05,230321.06684699532,355.81793440436667
2016-01-28 00:00:00 UTC,2.656864e-05,259780.7650777808,3993.1618620051418
2016-01-29 00:00:00 UTC,3.031296e-05,296978.92426738946,12585.992258793263
2016-01-30 00:00:00 UTC,2.638447e-05,259079.11979954108,2831.1903302484443
2016-01-31 00:00:00 UTC,2.550464e-05,251028.2195892576,1672.7785948486055
2016-02-01 00:00:00 UTC,2.227937999999999e-05,219720.86847915663,1163.323281389808
2016-02-02 00:00:00 UTC,2.610076e-05,258306.87446837363,263.4969427848396
2016-02-03 00:00:00 UTC,2.576868e-05,256057.9693389606,1416.8247519497077
2016-02-04 00:00:00 UTC,3.107008e-05,309946.02144411777,8460.871920859536
2016-02-05 00:00:00 UTC,3.085864e-05,309069.66524960496,3801.374384136118
2016-02-06 00:00:00 UTC,2.99924e-05,302518.7962050576,1540.7328810067445
2016-02-07 00:00:00 UTC,3.004136e-05,305369.0071688006,6962.8274724867615
2016-02-08 00:00:00 UTC,5.195904e-05,530848.2669942144,114489.21285822013
2016-02-09 00:00:00 UTC,4.860817e-05,499151.0805992325,41466.861033783935
2016-02-10 00:00:00 UTC,4.178119e-05,430465.8637619258,38335.86292346385
2016-02-11 00:00:00 UTC,5.278812e-05,545203.4749326026,48034.43263020977
2016-02-12 00:00:00 UTC,9.568e-05,991169.5472016,653667.6842593038
2016-02-13 00:00:00 UTC,7.80848e-05,811938.1103649071,139547.4981008271
2016-02-14 00:00:00 UTC,0.000101036,1053591.123942084,76072.45588798959
2016-02-15 00:00:00 UTC,9.984475e-05,1044240.0099849463,68957.62899861019
2016-02-16 00:00:00 UTC,9.361299e-05,982114.5826622244,72540.69129268303
2016-02-17 00:00:00 UTC,7.92015e-05,833354.356775535,30018.926365587115
2016-02-18 00:00:00 UTC,8.849861999999998e-05,934523.7515869976,33867.56570565191
2016-02-19 00:00:00 UTC,8.38754e-05,888696.7035919421,27623.89445029381
2016-02-20 00:00:00 UTC,7.94016e-05,844272.4583909952,20574.3822527794
2016-02-21 00:00:00 UTC,7.0184e-05,749150.25395392,12541.1332996479
2016-02-22 00:00:00 UTC,7.442651e-05,797495.9066779384,14646.329794733088
2016-02-23 00:00:00 UTC,7.565436e-05,814098.5039684628,15707.756976367888
2016-02-24 00:00:00 UTC,8.46374e-05,914593.2411277816,22947.18272101692
2016-02-25 00:00:00 UTC,8.039698e-05,872029.0557509388,10031.92196582656
2016-02-26 00:00:00 UTC,8.113551e-05,883961.1416618249,13676.63675169826
