snapped_at,price,market_cap,total_volume
2021-06-30 00:00:00 UTC,6.589779333378619e-07,0.0,61212835.43533067
2021-07-01 00:00:00 UTC,6.589779333378619e-07,0.0,61212835.43533067
2021-07-02 00:00:00 UTC,6.454001325651153e-07,0.0,4526374.108079646
2021-07-03 00:00:00 UTC,9.110963823851296e-07,0.0,5201496.965803484
2021-07-04 00:00:00 UTC,1.6257429060348278e-06,41448646.06751966,12043264.415001413
2021-07-05 00:00:00 UTC,1.2257935324186615e-06,32010841.055521872,13018077.069449928
2021-07-06 00:00:00 UTC,6.459990371930618e-07,16439813.440807508,3631292.560802231
2021-07-07 00:00:00 UTC,8.827652235168e-07,22868447.091334555,3976740.1432110216
2021-07-08 00:00:00 UTC,8.08220233733236e-07,21299423.405452803,1750801.6329336285
2021-07-09 00:00:00 UTC,7.641418129831733e-07,19743774.044890013,948553.8759802636
2021-07-10 00:00:00 UTC,7.827336388260556e-07,20169526.018133413,425485.0872211097
2021-07-11 00:00:00 UTC,8.432912593417007e-07,21705053.977218725,421996.5126071765
2021-07-12 00:00:00 UTC,9.100384887486884e-07,23440385.31625386,557722.0552032983
2021-07-13 00:00:00 UTC,8.992569180704763e-07,24267022.134211995,2016359.7080046567
2021-07-14 00:00:00 UTC,6.980947746176014e-07,18015636.294440024,1098577.3796596834
2021-07-15 00:00:00 UTC,6.045287802255119e-07,15539362.317947106,1197191.391759532
2021-07-16 00:00:00 UTC,6.278276530708411e-07,16264102.665451556,798914.1037839537
2021-07-17 00:00:00 UTC,5.797521034281651e-07,15018430.070768217,347681.60554121283
2021-07-18 00:00:00 UTC,5.739056565125036e-07,14764881.217382938,125629.27122365052
2021-07-19 00:00:00 UTC,5.247595820739308e-07,13630145.041871678,225116.24516973944
2021-07-20 00:00:00 UTC,4.70930491912658e-07,12253642.270523729,636287.9823006635
2021-07-21 00:00:00 UTC,3.654431414105765e-07,9393439.895743448,574875.1577608216
2021-07-22 00:00:00 UTC,4.472064510088003e-07,11518954.04113565,208106.2244139457
2021-07-23 00:00:00 UTC,4.253213302413772e-07,10923593.025245247,98943.1084131062
2021-07-24 00:00:00 UTC,5.28103813448038e-07,13525487.597143617,796472.4471830566
2021-07-25 00:00:00 UTC,4.371294900828577e-07,11259235.838237766,416443.2472657102
2021-07-26 00:00:00 UTC,5.05884895576454e-07,12919974.120836277,167477.00760485543
2021-07-27 00:00:00 UTC,6.260253768317273e-07,16223627.07319936,738852.5744524052
2021-07-28 00:00:00 UTC,7.212577439216544e-07,18469518.36785591,1037927.1036858136
2021-07-29 00:00:00 UTC,9.377516174195716e-07,24146571.9983924,1143087.769165594
2021-07-30 00:00:00 UTC,1.3391105156919378e-06,33448942.259438835,4631727.303780973
2021-07-31 00:00:00 UTC,1.0040702915032985e-06,25825921.92650513,2482434.657447472
2021-08-01 00:00:00 UTC,1.3576840356596273e-06,34881732.01870946,2609358.175136363
