snapped_at,price,market_cap,total_volume
2021-11-15 00:00:00 UTC,0.0002164950449742,0.0,126069323.98061708
2021-11-16 00:00:00 UTC,0.0002164950449742,0.0,126069323.98061708
2021-11-17 00:00:00 UTC,0.0001362107945079,56140984.81388868,38361742.83738839
2021-11-18 00:00:00 UTC,0.0001358282105052,60556370.84821685,32222473.146809693
2021-11-19 00:00:00 UTC,8.371702978591886e-05,58347984.34608223,34142356.74037446
2021-11-20 00:00:00 UTC,0.0001092987986716,81003097.44037724,14739241.922847832
2021-11-21 00:00:00 UTC,9.82721669651274e-05,74262930.82313731,10795105.180438504
2021-11-22 00:00:00 UTC,0.0001151406458714,95084430.58543386,15536347.103964375
2021-11-23 00:00:00 UTC,0.000111722583752,98235818.24601877,16873241.574554473
2021-11-24 00:00:00 UTC,0.0001383468962663,126645949.3024504,20490836.32555731
2021-11-25 00:00:00 UTC,0.0001483293077637,142242638.47127476,26745901.16164588
2021-11-26 00:00:00 UTC,0.0001329047714365,133560911.85820536,23563383.33266831
2021-11-27 00:00:00 UTC,0.000120236678531,125842616.38405314,19624978.00444496
2021-11-28 00:00:00 UTC,0.0001400715687834,154364358.73458704,22067880.15087324
2021-11-29 00:00:00 UTC,0.0001406412380879,158591397.7691973,22789241.55437107
2021-11-30 00:00:00 UTC,0.0001310359073504,154569192.98947734,25758607.561124444
2021-12-01 00:00:00 UTC,0.0001313323315689,162880365.0424004,23816072.26152576
2021-12-02 00:00:00 UTC,0.0001391704503803,181429117.97357145,23858676.057410505
2021-12-03 00:00:00 UTC,0.0001424131064928,194391738.3418125,22512977.905508537
2021-12-04 00:00:00 UTC,0.0001376115813562,200729379.02666628,27814305.31391084
2021-12-05 00:00:00 UTC,0.0001304579812318,191450735.9323835,38510306.98083192
2021-12-06 00:00:00 UTC,0.0001232580986448,190261397.5090727,21830344.47975029
2021-12-07 00:00:00 UTC,0.0001220407143576,193436395.1020387,28798912.429778434
2021-12-08 00:00:00 UTC,0.0001209515522451,197588043.99326423,20625597.513475377
2021-12-09 00:00:00 UTC,0.0001199551046655,203647033.45860305,16064927.649083046
2021-12-10 00:00:00 UTC,0.0001109377394605,206565311.43049595,16917636.86940316
2021-12-11 00:00:00 UTC,0.000104204068653,211004891.75704783,17257071.296909604
2021-12-12 00:00:00 UTC,0.0001055928117322,219673458.22194684,13387747.83553308
2021-12-13 00:00:00 UTC,9.46583965757965e-05,206789006.05840832,24640547.93589749
2021-12-14 00:00:00 UTC,6.836780379942234e-05,151946168.1557317,42465982.767651446
2021-12-15 00:00:00 UTC,7.421597267219808e-05,166823722.88081336,16550502.670279857
2021-12-16 00:00:00 UTC,7.677226473808474e-05,176920419.67221907,11886405.970396215
2021-12-17 00:00:00 UTC,7.541553019931817e-05,192509808.7215251,9715248.642038452
2021-12-18 00:00:00 UTC,6.784631396844554e-05,175558379.56822982,12875562.577043122
2021-12-19 00:00:00 UTC,6.819428551151728e-05,179706595.5217327,8773005.865904689
2021-12-20 00:00:00 UTC,6.554093613014615e-05,175486950.62741193,9037114.632468067
2021-12-21 00:00:00 UTC,5.523355950845678e-05,164048066.10343492,16534559.91180876
2021-12-22 00:00:00 UTC,5.698606325367384e-05,172450566.5893426,6862354.728489388
2021-12-23 00:00:00 UTC,5.807662716465595e-05,177844379.28379783,9068990.136741413
2021-12-24 00:00:00 UTC,6.695113615933831e-05,216146100.0026813,18587028.523524497
2021-12-25 00:00:00 UTC,6.756070881145682e-05,235738284.0596367,18589314.63572187
2021-12-26 00:00:00 UTC,6.926035162107763e-05,245056687.12789947,10884686.575687513
2021-12-27 00:00:00 UTC,6.664437804738075e-05,238145054.26838964,7014038.737848958
2021-12-28 00:00:00 UTC,6.553844413721084e-05,253843048.6536109,6860797.763775607
2021-12-29 00:00:00 UTC,5.900517353659916e-05,231176080.57759807,11831937.006774528
2021-12-30 00:00:00 UTC,5.574174028763956e-05,219438937.7922715,6874556.094074899
2021-12-31 00:00:00 UTC,5.527711065983961e-05,221387783.38806203,5845897.946442326
2022-01-01 00:00:00 UTC,5.572152059299816e-05,225471542.55037323,7148483.805835464
2022-01-02 00:00:00 UTC,5.690972896729323e-05,231457617.307724,4509797.418863982
2022-01-03 00:00:00 UTC,5.638668317508691e-05,232768574.53614643,5324549.721428224
2022-01-04 00:00:00 UTC,5.4192236470600194e-05,239700009.7866779,5477434.399430046
2022-01-05 00:00:00 UTC,5.132440791967827e-05,230246305.87056187,6755276.657641575
2022-01-06 00:00:00 UTC,4.543895730951964e-05,204821462.42727065,8371915.223943284
2022-01-07 00:00:00 UTC,4.472413459737397e-05,203440528.88014165,5015350.96968845
2022-01-08 00:00:00 UTC,4.097912470168587e-05,188655765.18415225,6958509.863834424
2022-01-09 00:00:00 UTC,3.948741332897148e-05,183212681.543532,4968449.563156292
2022-01-10 00:00:00 UTC,3.979825945691828e-05,185975348.85689637,3727266.4395856047
2022-01-11 00:00:00 UTC,3.797910506098285e-05,186740592.05149597,5038454.191452315
2022-01-12 00:00:00 UTC,3.901176140500974e-05,193654004.48357487,4496257.902192647
2022-01-13 00:00:00 UTC,4.094638407318392e-05,204044458.03241143,3415873.3734019115
2022-01-14 00:00:00 UTC,3.806208612579131e-05,192873145.57967535,3485539.6957481587
